edge_id,from,to
922047,2491386,27975702
2861267,2493679,27975702
973560,2491386,27985100
1140097,2491891,27985100
1116094,2491386,27985823
724702,2491386,27977194
753954,2491386,27977908
1073997,2494734,27977908
148694289,11483,2491386
1029335,2491386,27986976
884206,2495986,27986976
148694291,518,2491386
148686628,518,2491789
2284095,146082,2494735
918624,2491386,27983834
842397,2497003,27983834
137027236,148954,11483
137040987,151507,11483
5285906,2496542,2492125
37393529,27007851,26881286
3843473,27007851,388647
37807643,26890877,2496542
37733432,26891174,26890877
51755651,26891174,390682
5222380,2496542,2500406
183141288,423108,2500406
5489970,2496542,2498230
183013853,396399,2498230
51767431,26890877,390598
194363,385407,2481007
139811177,26890877,26886199
148689091,518,2496542
1088569,2496542,27982617
36372749,148954,2496542
36449545,143017,2496542
134546217,143017,151507
5285902,2491395,2492125
156671429,27596853,148189
3844039,27596853,388647
183141281,423108,2492125
181066224,396399,2492125
37805764,26890877,2491395
1193561,2491395,27985395
1216373,2493679,27977194
2300955,147998,2491395
2320833,147998,2491891
195687852,2492439,2491395
930530,2491395,27983834
722799,2496542,27983834
36411273,143622,2491395
36396242,143622,2494734
148660055,11483,2491395
908270,2491395,27986976
148660059,518,2491395
148660057,12597,2491395
148686627,12597,2491789
4104320,147704,2491395
5255194,2491395,2500388
5027160,2500388,2496997
36281214,2491395,23902
5024560,2491395,2495179
5334716,2491395,2506855
157715653,151507,2506855
36383436,143290,2494734
51755573,27007851,390682
182176341,30631177,2494734
181370407,30631177,2496938
181023850,423108,2496938
52060790,27007851,391913
1957449,396399,27007851
52060789,27007851,556753
181973546,30630625,2494734
182171401,30630625,2506306
185105512,390598,2506306
36634159,2494734,142769
156663477,26885366,142769
51768831,26885366,417993
37393462,27007851,26886199
901481,2494734,27985823
2870807,2494734,29063667
2868404,2494757,29063667
2422079,2494734,27981225
2431606,2495986,27981225
2870074,2506211,29063667
1127946,2494734,27981720
760733,2497003,27981720
966914,2495821,27981429
770078,2494734,27981895
1217760,2496997,27981895
172857,148954,143290
148636204,11483,2494734
5286395,2494757,2492125
3844122,26899852,388647
51755669,26899852,390682
5182427,2494757,2490891
6495251,423108,2490891
52060886,26899852,391913
5127181,2494757,2490401
183013845,396399,2490401
52060885,26899852,556753
148671670,11483,2497470
185105523,390598,2497470
37112579,26899852,27544276
51767369,27544276,417993
148689087,11483,2496542
735052,2494757,27983570
1013067,2495986,27983570
148625381,11483,2497003
1041152,2494757,27981429
914914,2494757,27981895
36440653,148954,2490401
5167467,2494757,2490713
36383572,144390,2490713
157339595,30736558,144390
1679727,423007,27544276
51940653,26883798,388647
483726,396399,27544276
1441234,390598,27544276
37800805,26892946,2495986
37801795,27010356,2495986
37802484,26881078,2495986
139717606,26881078,26886199
1208246,2495986,27985823
735121,2495986,27985524
1199920,2506211,27985524
784412,2495986,27977782
36415414,148954,2495986
25745418,30719406,148954
5979325,30736558,30719406
183137869,423007,2494795
156395428,30629385,2506211
156327007,30629385,2497669
180862013,423108,2497669
156587407,30629385,2490401
156617825,30629385,2506306
161118975,2506211,153296
156661259,26929190,153296
51767794,26929190,417993
148669810,14140,2506211
137027246,148954,14140
51940633,26901050,388647
37503360,26901050,27514351
36642464,2491789,153296
36629707,2491959,153296
2439325,2491789,27987980
2437682,2493679,27987980
148686626,6923,2491789
148670689,6923,2491891
915167,2491789,27977960
978170,2492439,27977960
148689088,6923,2496542
1055209,2491789,27985753
808169,2494757,27985753
1079309,2491789,27981895
695557,2495986,27981895
2419285,2491789,27984171
5024658,2491789,2495179
195713392,2491789,2497287
157714288,151507,2497287
51300178,26987197,423007
51755567,26987197,390682
156334827,30631516,2494735
156538181,30631516,2494660
9270777,423108,2494660
137293768,145949,2494735
37801950,26890877,2494735
4100040,147704,2496542
2869466,2494735,29063667
1170680,2494735,27983570
858064,2497003,27985636
1026283,2494735,27981895
36307579,2494735,23902
148652595,11483,2494735
37797894,26939488,2497003
37599438,26939488,26897782
51940583,26897782,388647
2309228,149644,2497003
176707689,396399,149644
37480796,27514351,27544276
148625384,518,2497003
36398464,148954,2497003
5401260,2501999,2495821
183137873,423007,2501999
37803054,26939488,2495821
37712020,26939488,27544276
5401247,2498672,2495821
183141340,423108,2498672
37643913,26894669,26939488
195698620,2495821,2500014
183171625,396399,2500014
195698614,2495821,2502587
185105509,390598,2502587
37798377,26885001,2495821
919990,2495821,27985823
944001,2495821,27976074
829965,2495986,27976074
1182783,2495821,27984171
893458,2495821,27985405
712758,2497003,27985405
1053443,2495821,27981895
