node_id,identifier,node_type,name,human_name
27984171,GO:0046942,BiologicalProcess,carboxylic acid transport,Carboxylic Acid Transport
27977782,GO:1904251,BiologicalProcess,regulation of bile acid metabolic process,Regulation Of Bile Acid Metabolic Process
24077,D015430,Symptom,Weight Gain,Weight Gain
2497767,10953,Gene,TOMM34,TOMM34
27975702,GO:0097305,BiologicalProcess,response to alcohol,Response To Alcohol
27985100,GO:0044057,BiologicalProcess,regulation of system process,Regulation Of System Process
27977908,GO:0009991,BiologicalProcess,response to extracellular stimulus,Response To Extracellular Stimulus
27986976,GO:0072330,BiologicalProcess,monocarboxylic acid biosynthetic process,Monocarboxylic Acid Biosynthetic Process
27983834,GO:0032787,BiologicalProcess,monocarboxylic acid metabolic process,Monocarboxylic Acid Metabolic Process
2500406,54541,Gene,DDIT4,DDIT4
2498230,23029,Gene,RBM34,RBM34
2506855,221895,Gene,JAZF1,JAZF1
2496938,9897,Gene,WASHC5,WASHC5
2506306,163486,Gene,DENND1B,DENND1B
29063667,GO:0006811,BiologicalProcess,monoatomic ion transport,Monoatomic Ion Transport
27981225,GO:0032890,BiologicalProcess,regulation of organic acid transport,Regulation Of Organic Acid Transport
27981720,GO:0038183,BiologicalProcess,bile acid signaling pathway,Bile Acid Signaling Pathway
27981895,GO:0010876,BiologicalProcess,lipid localization,Lipid Localization
2490891,874,Gene,CBR3,CBR3
2490401,178,Gene,AGL,AGL
2497470,10557,Gene,RPP38,RPP38
27983570,GO:1903825,BiologicalProcess,organic acid transmembrane transport,Organic Acid Transmembrane Transport
2490713,641,Gene,BLM,BLM
27985524,GO:1905039,BiologicalProcess,carboxylic acid transmembrane transport,Carboxylic Acid Transmembrane Transport
2497669,10818,Gene,FRS2,FRS2
153296,DOID:263,Disease,kidney cancer,Kidney Cancer
27987980,GO:0043177,MolecularFunction,organic acid binding,Organic Acid Binding
27977960,GO:0008285,BiologicalProcess,negative regulation of cell population proliferation,Negative Regulation Of Cell Population Proliferation
27985753,GO:0015849,BiologicalProcess,organic acid transport,Organic Acid Transport
2494660,6464,Gene,SHC1,SHC1
2500014,51375,Gene,SNX7,SNX7
2502587,79080,Gene,CCDC86,CCDC86
27976074,GO:1901615,BiologicalProcess,organic hydroxy compound metabolic process,Organic Hydroxy Compound Metabolic Process
27985405,GO:0032024,BiologicalProcess,positive regulation of insulin secretion,Positive Regulation Of Insulin Secretion
2495919,8550,Gene,MAPKAPK5,MAPKAPK5
35035895,A0A2S1EQX2,Protein,A0A2S1EQX2_LACRE,A0A2S1EQX2_LACRE
35035562,A0A2S1EPS3,Protein,A0A2S1EPS3_LACRE,A0A2S1EPS3_LACRE
35035775,A0A2S1EQI1,Protein,A0A2S1EQI1_LACRE,A0A2S1EQI1_LACRE
8137050,A0A1P8PI72,Protein,A0A1P8PI72_9GAMM,A0A1P8PI72_9GAMM
8137419,A0A1P8PJ98,Protein,A0A1P8PJ98_9GAMM,A0A1P8PJ98_9GAMM
8137860,A0A1P8PKJ4,Protein,A0A1P8PKJ4_9GAMM,A0A1P8PKJ4_9GAMM
20189992,A0A6G7B756,Protein,A0A6G7B756_9LACO,A0A6G7B756_9LACO
20190352,A0A6G7B8N2,Protein,A0A6G7B8N2_9LACO,A0A6G7B8N2_9LACO
20190744,A0A6G7B9Z8,Protein,A0A6G7B9Z8_9LACO,A0A6G7B9Z8_9LACO
25239974,B2UPT6,Protein,NUOB_AKKM8,NUOB_AKKM8
21070832,A0A6N2REZ9,Protein,A0A6N2REZ9_9BACT,A0A6N2REZ9_9BACT
25239995,B2UQY9,Protein,EFTU_AKKM8,EFTU_AKKM8
2493797,5261,Gene,PHKG2,PHKG2
9211601,A0A1Y4I2E0,Protein,A0A1Y4I2E0_9BACT,A0A1Y4I2E0_9BACT
6195731,A0A174XDW3,Protein,A0A174XDW3_9BACT,A0A174XDW3_9BACT
6179386,A0A174TQR1,Protein,A0A174TQR1_9BACT,A0A174TQR1_9BACT
34863748,A0A2M9UU94,Protein,A0A2M9UU94_BACFG,A0A2M9UU94_BACFG
38671711,A0A5C6KV20,Protein,A0A5C6KV20_BACFG,A0A5C6KV20_BACFG
34865436,A0A2M9V1Y4,Protein,A0A2M9V1Y4_BACFG,A0A2M9V1Y4_BACFG
2493207,4313,Gene,MMP2,MMP2
147806,DOID:0080199,Disease,colorectal carcinoma,Colorectal Carcinoma
38516,inchikey:HBUJATCJXGLELF-UHFFFAOYSA-N,Compound,"1,2-Dimethoxy-4-[2-(3-methoxyphenyl)ethyl]benzene","1,2-Dimethoxy-4-[2-(3-methoxyphenyl)ethyl]benzene"
30775861,1862668,Organism,Ileibacterium valens,Ileibacterium valens
