node_id,node_type,name,subclass,source,hmdb_id,is_metrs,functional_role,highlight,source_set,degree,betweenness,is_compound_hub,is_protein_hub,eigenvector,pagerank,combined_score,is_topology_hub
1807,Gene,DPYS,,,,FALSE,Pyrimidine catabolism,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00003,0.00358,0.00000,FALSE
51733,Gene,UPB1,,,,FALSE,Pyrimidine catabolism / beta-alanine,FALSE,fig2d,2,0.01190,FALSE,FALSE,0.00121,0.00582,0.04017,FALSE
9356,Gene,SLC22A6,,,,FALSE,Organic anion transporter (gut-kidney axis),TRUE,fig2d,2,0.00000,FALSE,FALSE,0.00000,0.00500,0.00000,FALSE
246,Gene,ALOX15,,,,FALSE,Lipoxygenase / 13-HODE production,FALSE,fig2d,5,0.08123,FALSE,FALSE,0.01165,0.01196,0.17223,FALSE
247,Gene,ALOX15B,,,,FALSE,Lipoxygenase,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00036,0.00311,0.00000,FALSE
240,Gene,ALOX5,,,,FALSE,Lipoxygenase / Eicosanoid synthesis,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00036,0.00311,0.00000,FALSE
2879,Gene,GPX4,,,,FALSE,Glutathione peroxidase / Ferroptosis,FALSE,fig2d,2,0.00011,FALSE,FALSE,0.00070,0.00531,0.01055,FALSE
3952,Gene,LEP,,,,FALSE,Leptin / Energy homeostasis,TRUE,fig2d,7,0.03816,FALSE,FALSE,0.21046,0.01139,0.31582,TRUE
4852,Gene,NPY,,,,FALSE,Neuropeptide Y / Appetite,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.07185,0.00226,0.00000,FALSE
9370,Gene,ADIPOQ,,,,FALSE,Adiponectin,TRUE,fig2d,4,0.00533,FALSE,FALSE,0.18593,0.00645,0.14118,FALSE
7351,Gene,UCP2,,,,FALSE,Uncoupling protein / Thermogenesis,FALSE,fig2d,3,0.02425,FALSE,FALSE,0.13915,0.00524,0.16947,FALSE
23411,Gene,SIRT1,,,,FALSE,Sirtuin / NAD metabolism,FALSE,fig2d,5,0.01988,FALSE,FALSE,0.20280,0.00831,0.22589,TRUE
6720,Gene,SREBF1,,,,FALSE,Lipogenesis transcription factor,FALSE,fig2d,3,0.00336,FALSE,FALSE,0.13258,0.00515,0.10166,FALSE
1050,Gene,CEBPA,,,,FALSE,Adipocyte differentiation,FALSE,fig2d,2,0.01958,FALSE,FALSE,0.07577,0.00400,0.11649,FALSE
3667,Gene,IRS1,,,,FALSE,Insulin signaling,FALSE,fig2d,3,0.00232,FALSE,FALSE,0.14007,0.00509,0.09370,FALSE
1268,Gene,CNR1,,,,FALSE,Cannabinoid receptor / Appetite,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.07185,0.00226,0.00000,FALSE
GO:0070189,BiologicalProcess,"kynurenine
metabolic process",,,,FALSE,,TRUE,fig2d,4,0.00388,FALSE,FALSE,0.00158,0.00673,0.04003,FALSE
GO:0097052,BiologicalProcess,L-kynurenine metabolic process,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00006,0.00288,0.00000,FALSE
GO:0097053,BiologicalProcess,L-kynurenine catabolic process,,,,FALSE,,FALSE,fig2d,2,0.01190,FALSE,FALSE,0.00016,0.00504,0.02344,FALSE
GO:0019441,BiologicalProcess,tryptophan catabolic process to kynurenine,,,,FALSE,,FALSE,fig2d,4,0.01482,FALSE,FALSE,0.00141,0.00739,0.05570,FALSE
GO:0006809,BiologicalProcess,"nitric oxide
biosynthetic process",,,,FALSE,,TRUE,fig2d,4,0.02728,FALSE,FALSE,0.03431,0.00901,0.15128,TRUE
GO:0032000,BiologicalProcess,"positive regulation of
fatty acid beta-oxidation",,,,FALSE,,TRUE,fig2d,3,0.00395,FALSE,FALSE,0.08569,0.00536,0.09589,FALSE
